"","Estimate","Cluster.s.e.","t.value","Pr...t.."
"tp_L1",0.000294053874794267,0.000660597579260627,0.445133140093227,0.656245740492832
"tp_L2",-0.000565060953058002,0.000858384617453598,-0.658284108974667,0.510390504118697
"tp_L3",-0.00119506849917335,0.000724377237421324,-1.64978748286959,0.0990587752237353
"t2m_L1",-0.00142492136745063,0.000590683378866075,-2.41232683774855,0.0158922856416974
"t2m_L2",-0.00291882678116592,0.000829568745054777,-3.51848692295318,0.000438465448016873
"t2m_L3",-0.000610471136287843,0.000841755685721166,-0.725235536442891,0.468346645863619
"utci_L1",0.00480079340009643,0.00105249157691901,4.56136039981426,5.22249695968387e-06
"utci_L2",0.0026038894988129,0.00115151159399029,2.26127944555881,0.0237912526717468
"utci_L3",0.000257404700635457,0.00104275572093045,0.246850432434718,0.805035653791101
"ssrd_L1",0.000841281103773904,0.000794940747893431,1.05829410053928,0.289980279884547
"ssrd_L2",-0.000624210855222669,0.00121250547928995,-0.514810750041485,0.606711488950008
"ssrd_L3",-0.000845909296437909,0.00150408549743408,-0.56240772075856,0.573867306593609
